timestamp,latency(ms)
2018-04-08T15:42:44,20.062
2018-04-08T16:42:44,19.598
2018-04-08T17:42:43,21.966
2018-04-08T18:42:46,16.236
2018-04-08T19:42:43,18.634
2018-04-08T20:42:43,20.553
2018-04-08T21:42:46,22.163
2018-04-08T22:42:48,14.960
2018-04-08T23:42:47,17.282
2018-04-09T00:42:53,18.306
2018-04-09T01:42:43,18.545
2018-04-09T02:42:49,16.081
2018-04-09T03:42:43,15.137
2018-04-09T04:42:47,14.993
2018-04-09T05:42:45,15.447
2018-04-09T06:42:46,15.359
2018-04-09T07:42:50,15.957
2018-04-09T08:42:48,18.955
2018-04-09T09:42:48,20.695
2018-04-09T10:42:54,21.873
2018-04-09T11:42:43,20.802
2018-04-09T12:42:46,16.210
2018-04-09T13:42:44,15.067
2018-04-09T14:42:47,17.025
2018-04-09T15:42:44,15.048
2018-04-09T16:42:44,21.812
2018-04-09T17:42:43,15.360
2018-04-09T18:42:48,15.376
2018-04-09T19:42:42,22.587
2018-04-09T20:42:43,24.338
2018-04-09T21:42:48,21.150
2018-04-09T22:42:43,16.683
2018-04-09T23:42:43,21.101
2018-04-10T00:42:47,16.916
2018-04-10T01:42:47,16.021
2018-04-10T02:42:44,20.377
2018-04-10T03:42:44,16.025
2018-04-10T04:42:45,16.099
2018-04-10T05:42:47,15.916
2018-04-10T06:42:49,15.861
2018-04-10T07:42:44,16.452
2018-04-10T08:42:45,16.008
2018-04-10T09:42:47,17.197
2018-04-10T10:42:48,16.368
2018-04-10T11:42:43,20.855
2018-04-10T12:42:47,18.631
2018-04-10T13:42:44,17.524
2018-04-10T14:42:49,19.804
2018-04-10T15:42:44,21.251
2018-04-10T16:42:47,19.823
2018-04-10T17:42:43,22.441
2018-04-10T18:42:47,16.541
2018-04-10T19:42:51,22.521
2018-04-10T20:42:48,27.572
2018-04-10T21:42:46,27.931
2018-04-10T22:42:48,18.094
2018-04-10T23:42:45,19.209
2018-04-11T00:42:47,31.948
2018-04-11T01:42:47,15.427
2018-04-11T02:42:43,15.467
2018-04-11T03:42:43,15.094
2018-04-11T04:42:47,20.121
2018-04-11T05:42:44,15.393
2018-04-11T06:42:42,17.689
2018-04-11T07:42:47,19.475
2018-04-11T08:42:45,15.807
2018-04-11T09:42:43,18.304
2018-04-11T10:42:44,19.529
2018-04-11T11:42:50,15.794
2018-04-11T12:42:47,18.568
2018-04-11T13:42:42,16.196
2018-04-11T14:42:43,15.697
2018-04-11T15:42:45,19.945
2018-04-11T16:42:44,21.606
2018-04-11T17:42:47,15.292
2018-04-11T18:42:43,16.249
2018-04-11T19:42:44,15.760
2018-04-11T20:42:44,17.674
2018-04-11T21:42:49,20.476
2018-04-11T22:42:52,28.103
2018-04-11T23:42:47,15.530
2018-04-12T00:42:47,16.930
2018-04-12T01:42:44,19.498
2018-04-12T02:42:43,15.026
2018-04-12T03:42:45,19.099
2018-04-12T04:42:47,17.756
2018-04-12T05:42:49,15.356
2018-04-12T06:42:46,15.247
2018-04-12T07:42:45,15.721
2018-04-12T08:42:42,15.174
2018-04-12T09:42:43,19.799
2018-04-12T10:42:46,21.011
2018-04-12T11:42:48,15.938
2018-04-12T12:42:49,15.428
2018-04-12T13:42:46,19.081
2018-04-12T14:42:43,18.878
2018-04-12T15:42:44,16.540
2018-04-12T16:43:14,20.778
2018-04-12T17:42:45,21.398
2018-04-12T18:42:49,19.996
2018-04-12T19:42:47,16.061
2018-04-12T20:42:42,20.466
2018-04-12T21:42:54,24.674
2018-04-12T22:42:45,16.186
2018-04-12T23:43:16,15.697
2018-04-13T00:43:15,15.228
2018-04-13T01:42:48,15.122
2018-04-13T02:42:47,15.039
2018-04-13T03:42:43,15.129
2018-04-13T04:42:43,15.423
2018-04-13T05:42:42,17.622
2018-04-13T06:42:44,15.399
2018-04-13T07:42:43,15.795
2018-04-13T08:42:47,15.830
2018-04-13T09:42:44,16.926
2018-04-13T10:42:44,22.229
2018-04-13T11:42:43,17.746
2018-04-13T12:42:13,19.831
2018-04-13T13:42:48,16.386
2018-04-13T14:42:43,21.108
2018-04-13T15:42:44,15.731
2018-04-13T16:42:43,16.293
2018-04-13T17:42:45,20.835
2018-04-13T18:42:48,16.122
2018-04-13T19:42:46,15.959
2018-04-13T20:42:45,18.267
2018-04-13T21:42:47,17.896
2018-04-13T22:42:50,16.116
2018-04-13T23:42:43,15.372
2018-04-14T00:42:43,15.375
2018-04-14T01:42:43,15.299
2018-04-14T02:42:46,15.288
2018-04-14T03:42:43,15.217
2018-04-14T04:42:47,17.622
2018-04-14T05:42:45,15.165
2018-04-14T06:42:46,17.103
2018-04-14T07:42:44,27.599
2018-04-14T08:42:43,16.008
2018-04-14T09:42:43,15.861
2018-04-14T10:42:42,16.246
2018-04-14T11:42:47,16.680
2018-04-14T12:42:47,15.072
2018-04-14T13:42:43,18.735
2018-04-14T14:42:45,19.451
2018-04-14T15:42:45,18.908
2018-04-14T16:42:47,15.062
2018-04-14T17:42:43,15.017
